id,sales_date,sales_amount,producto
169,2024-06-16,2565,Webcam
170,2024-06-17,1840,Mouse
171,2024-06-18,3952,Auriculares
172,2024-06-19,3114,Notebook
173,2024-06-20,6381,Mouse
174,2024-06-21,4369,Teclado
175,2024-06-22,5751,Monitor
176,2024-06-23,3052,Mouse
177,2024-06-24,8441,Auriculares
178,2024-06-25,1319,Webcam
179,2024-06-26,5281,Teclado
180,2024-06-27,5846,Mouse
181,2024-06-28,7240,Notebook
182,2024-06-29,5801,Mouse
183,2024-06-30,7368,Teclado
184,2024-07-01,4536,Mouse
185,2024-07-02,3424,Auriculares
186,2024-07-03,7071,Monitor
187,2024-07-04,3073,Mouse
188,2024-07-05,5944,Teclado
189,2024-07-06,3517,Webcam
190,2024-07-07,6201,Mouse
191,2024-07-08,3477,Auriculares
192,2024-07-09,8031,Notebook
193,2024-07-10,7675,Mouse
194,2024-07-11,3872,Teclado
195,2024-07-12,3192,Monitor
196,2024-07-13,4671,Mouse
197,2024-07-14,2798,Auriculares
198,2024-07-15,1802,Webcam
199,2024-07-16,6390,Teclado
200,2024-07-17,5082,Mouse
201,2024-07-18,6996,Notebook
202,2024-07-19,1031,Mouse
203,2024-07-20,1378,Teclado
204,2024-07-21,2436,Mouse
205,2024-07-22,7300,Auriculares
206,2024-07-23,3271,Monitor
207,2024-07-24,2297,Mouse
208,2024-07-25,6847,Teclado
209,2024-07-26,7706,Webcam
210,2024-07-27,1746,Mouse
211,2024-07-28,4323,Auriculares
212,2024-07-29,7712,Notebook
213,2024-07-30,7022,Mouse
214,2024-07-31,5439,Teclado
215,2024-08-01,1773,Monitor
216,2024-08-02,1557,Mouse
217,2024-08-03,3670,Auriculares
218,2024-08-04,3368,Webcam
219,2024-08-05,8823,Teclado
220,2024-08-06,5829,Mouse
221,2024-08-07,5509,Notebook
222,2024-08-08,3517,Mouse
223,2024-08-09,4054,Teclado
224,2024-08-10,4702,Mouse
225,2024-08-11,2895,Auriculares
226,2024-08-12,2241,Monitor
227,2024-08-13,4899,Mouse
228,2024-08-14,7834,Teclado
229,2024-08-15,6631,Webcam
230,2024-08-16,2473,Mouse
231,2024-08-17,1989,Auriculares
232,2024-08-18,7079,Notebook
233,2024-08-19,7096,Mouse
234,2024-08-20,2765,Teclado
235,2024-08-21,6821,Monitor
236,2024-08-22,5530,Mouse
237,2024-08-23,4786,Auriculares
238,2024-08-24,8193,Webcam
239,2024-08-25,4591,Teclado
240,2024-08-26,3878,Mouse
241,2024-08-27,7639,Notebook
242,2024-08-28,8339,Mouse
243,2024-08-29,5906,Teclado
244,2024-08-30,4889,Mouse
245,2024-08-31,6938,Auriculares
246,2024-09-01,7117,Monitor
247,2024-09-02,8077,Mouse
248,2024-09-03,1954,Teclado
249,2024-09-04,7271,Webcam
250,2024-09-05,5840,Mouse
251,2024-09-06,5020,Auriculares
252,2024-09-07,7970,Notebook
253,2024-09-08,4888,Mouse
254,2024-09-09,6986,Teclado
255,2024-09-10,8305,Monitor
256,2024-09-11,8437,Mouse
257,2024-09-12,7037,Auriculares
258,2024-09-13,5300,Webcam
259,2024-09-14,8689,Teclado
260,2024-09-15,7511,Mouse
261,2024-09-16,2186,Notebook
262,2024-09-17,5355,Mouse
263,2024-09-18,5529,Teclado
264,2024-09-19,5838,Mouse
265,2024-09-20,3792,Auriculares
266,2024-09-21,6433,Monitor
267,2024-09-22,4715,Mouse
268,2024-09-23,4350,Teclado
269,2024-09-24,2102,Webcam
270,2024-09-25,2546,Mouse
271,2024-09-26,2358,Auriculares
272,2024-09-27,8824,Notebook
273,2024-09-28,5723,Mouse
274,2024-09-29,5664,Teclado
275,2024-09-30,7207,Monitor
276,2024-10-01,3824,Mouse
277,2024-10-02,1038,Auriculares
278,2024-10-03,1672,Webcam
279,2024-10-04,5838,Teclado
280,2024-10-05,3786,Mouse
281,2024-10-06,3265,Notebook
282,2024-10-07,7323,Mouse
283,2024-10-08,8940,Teclado
284,2024-10-09,5311,Mouse
285,2024-10-10,1816,Auriculares
286,2024-10-11,4414,Monitor
287,2024-10-12,6557,Mouse
288,2024-10-13,6387,Teclado
289,2024-10-14,2848,Webcam
290,2024-10-15,4659,Mouse
291,2024-10-16,4938,Auriculares
292,2024-10-17,1062,Notebook
293,2024-10-18,7225,Mouse
294,2024-10-19,5186,Teclado
295,2024-10-20,5689,Monitor
296,2024-10-21,2227,Mouse
297,2024-10-22,8858,Auriculares
298,2024-10-23,2328,Webcam
299,2024-10-24,3199,Teclado
300,2024-10-25,2495,Mouse
301,2024-10-26,4244,Notebook
302,2024-10-27,4358,Mouse
303,2024-10-28,2870,Teclado
304,2024-10-29,1791,Mouse
305,2024-10-30,1219,Auriculares
306,2024-10-31,2013,Monitor
307,2024-11-01,4450,Mouse
308,2024-11-02,2084,Teclado
309,2024-11-03,7349,Webcam
310,2024-11-04,7188,Mouse
311,2024-11-05,3819,Auriculares
312,2024-11-06,2832,Notebook
313,2024-11-07,6027,Mouse
314,2024-11-08,2830,Teclado
315,2024-11-09,6864,Monitor
316,2024-11-10,5024,Mouse
317,2024-11-11,7305,Auriculares
318,2024-11-12,1118,Webcam
319,2024-11-13,4616,Teclado
320,2024-11-14,7345,Mouse
321,2024-11-15,6597,Notebook
322,2024-11-16,6178,Mouse
323,2024-11-17,5619,Teclado
324,2024-11-18,2805,Mouse
325,2024-11-19,1846,Auriculares
326,2024-11-20,2092,Monitor
327,2024-11-21,7527,Mouse
328,2024-11-22,2293,Teclado
329,2024-11-23,4386,Webcam
330,2024-11-24,8691,Mouse
331,2024-11-25,7223,Auriculares
332,2024-11-26,2875,Notebook
333,2024-11-27,6666,Mouse
334,2024-11-28,6556,Teclado
335,2024-11-29,5300,Monitor
336,2024-11-30,7234,Mouse
337,2024-12-01,5144,Auriculares
338,2024-12-02,8947,Webcam
339,2024-12-03,8507,Teclado
340,2024-12-04,6525,Mouse
341,2024-12-05,3100,Notebook
342,2024-12-06,7785,Mouse
343,2024-12-07,8835,Teclado
344,2024-12-08,6009,Mouse
345,2024-12-09,3740,Auriculares
346,2024-12-10,7586,Monitor
347,2024-12-11,4185,Mouse
348,2024-12-12,5171,Teclado
349,2024-12-13,4934,Webcam
350,2024-12-14,5209,Mouse
351,2024-12-15,3111,Auriculares
352,2024-12-16,5654,Notebook
353,2024-12-17,3040,Mouse
354,2024-12-18,6499,Teclado
355,2024-12-19,8900,Monitor
356,2024-12-20,3174,Mouse
357,2024-12-21,4716,Auriculares
358,2024-12-22,1383,Webcam
359,2024-12-23,6321,Teclado
360,2024-12-24,3676,Mouse
361,2024-12-25,8269,Notebook
362,2024-12-26,6740,Mouse
363,2024-12-27,1645,Teclado
364,2024-12-28,5371,Mouse
365,2024-12-29,2007,Auriculares
366,2024-12-30,7257,Monitor
367,2024-12-31,1071,Mouse
